"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","5","0.0-0.0","63d7457dae12d98a8ebd18f6","bdp_wmem","Mon Mar 13 2023 13:23:35 GMT-0500 (Central Daylight Time)","643024","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","6157","0.0-1.0","63d7457dae12d98a8ebd18f6","bdp_wmem","Mon Mar 13 2023 13:23:35 GMT-0500 (Central Daylight Time)","643024","Match,No Match","[{""page_index"":0,""viewing_time"":6152}]","6152","","","","","","","","","","","","","","","","","","",""
"","","","","63d7457dae12d98a8ebd18f6","bdp_wmem","Mon Mar 13 2023 13:23:35 GMT-0500 (Central Daylight Time)","643024","Match,No Match","","","fullscreenenter","2","15098","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","16105","0.0-2.0","63d7457dae12d98a8ebd18f6","bdp_wmem","Mon Mar 13 2023 13:23:35 GMT-0500 (Central Daylight Time)","643024","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","157794","0.0-4.0","63d7457dae12d98a8ebd18f6","bdp_wmem","Mon Mar 13 2023 13:23:35 GMT-0500 (Central Daylight Time)","643024","Match,No Match","[{""page_index"":0,""viewing_time"":23372},{""page_index"":1,""viewing_time"":69579},{""page_index"":2,""viewing_time"":16014},{""page_index"":3,""viewing_time"":7907},{""page_index"":4,""viewing_time"":24816}]","141688","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","158298","0.0-5.0-1.0","63d7457dae12d98a8ebd18f6","bdp_wmem","Mon Mar 13 2023 13:23:35 GMT-0500 (Central Daylight Time)","643024","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","162809","0.0-5.0-2.0","63d7457dae12d98a8ebd18f6","bdp_wmem","Mon Mar 13 2023 13:23:35 GMT-0500 (Central Daylight Time)","643024","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw070.bmp","1,0,1","noMatchOutcome","i","4500","","","","",""
"html-keyboard-response","6","166816","0.0-5.0-3.0","63d7457dae12d98a8ebd18f6","bdp_wmem","Mon Mar 13 2023 13:23:35 GMT-0500 (Central Daylight Time)","643024","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","169240","0.0-5.0-4.0","63d7457dae12d98a8ebd18f6","bdp_wmem","Mon Mar 13 2023 13:23:35 GMT-0500 (Central Daylight Time)","643024","Match,No Match","","2421","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw070.bmp","1,0,1","noMatchOutcome","i","4500","trustrating_stim/white_mw010.bmp","red","Keep","PRACTICE","0"
"html-keyboard-response","8","169744","0.0-5.0-5.0","63d7457dae12d98a8ebd18f6","bdp_wmem","Mon Mar 13 2023 13:23:35 GMT-0500 (Central Daylight Time)","643024","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","9","170249","0.0-5.0-1.1","63d7457dae12d98a8ebd18f6","bdp_wmem","Mon Mar 13 2023 13:23:35 GMT-0500 (Central Daylight Time)","643024","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","10","171753","0.0-5.0-2.1","63d7457dae12d98a8ebd18f6","bdp_wmem","Mon Mar 13 2023 13:23:35 GMT-0500 (Central Daylight Time)","643024","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw085.bmp","1","Match","e","1500","","","","",""
"html-keyboard-response","11","175760","0.0-5.0-3.1","63d7457dae12d98a8ebd18f6","bdp_wmem","Mon Mar 13 2023 13:23:35 GMT-0500 (Central Daylight Time)","643024","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","12","177630","0.0-5.0-4.1","63d7457dae12d98a8ebd18f6","bdp_wmem","Mon Mar 13 2023 13:23:35 GMT-0500 (Central Daylight Time)","643024","Match,No Match","","1868","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw085.bmp","1","Match","e","1500","trustrating_stim/white_mw085.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","13","178137","0.0-5.0-5.1","63d7457dae12d98a8ebd18f6","bdp_wmem","Mon Mar 13 2023 13:23:35 GMT-0500 (Central Daylight Time)","643024","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","14","178640","0.0-5.0-1.2","63d7457dae12d98a8ebd18f6","bdp_wmem","Mon Mar 13 2023 13:23:35 GMT-0500 (Central Daylight Time)","643024","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
