"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","12","0.0-0.0","64013f9fa92a5dd2d30c5575","bdp_rwlrn","Mon Mar 13 2023 14:02:19 GMT-0400 (Eastern Daylight Time)","597098","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"instructions","1","5660","0.0-1.0","64013f9fa92a5dd2d30c5575","bdp_rwlrn","Mon Mar 13 2023 14:02:19 GMT-0400 (Eastern Daylight Time)","597098","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":5645}]","5646","","","","","","","","","","","","","","","","","",""
"","","","","64013f9fa92a5dd2d30c5575","bdp_rwlrn","Mon Mar 13 2023 14:02:19 GMT-0400 (Eastern Daylight Time)","597098","Trustworthy,Untrustworthy","","","fullscreenenter","2","12407","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","13381","0.0-2.0","64013f9fa92a5dd2d30c5575","bdp_rwlrn","Mon Mar 13 2023 14:02:19 GMT-0400 (Eastern Daylight Time)","597098","Trustworthy,Untrustworthy","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","113362","0.0-4.0","64013f9fa92a5dd2d30c5575","bdp_rwlrn","Mon Mar 13 2023 14:02:19 GMT-0400 (Eastern Daylight Time)","597098","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":12354},{""page_index"":1,""viewing_time"":16964},{""page_index"":2,""viewing_time"":21678},{""page_index"":3,""viewing_time"":8887},{""page_index"":4,""viewing_time"":20268},{""page_index"":5,""viewing_time"":19827}]","99979","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","121098","0.0-5.0","64013f9fa92a5dd2d30c5575","bdp_rwlrn","Mon Mar 13 2023 14:02:19 GMT-0400 (Eastern Daylight Time)","597098","Trustworthy,Untrustworthy","","7732","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","5","126557","0.0-6.0","64013f9fa92a5dd2d30c5575","bdp_rwlrn","Mon Mar 13 2023 14:02:19 GMT-0400 (Eastern Daylight Time)","597098","Trustworthy,Untrustworthy","","5345","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","6","138492","0.0-7.0","64013f9fa92a5dd2d30c5575","bdp_rwlrn","Mon Mar 13 2023 14:02:19 GMT-0400 (Eastern Daylight Time)","597098","Trustworthy,Untrustworthy","","11825","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
"html-keyboard-response","7","141686","0.0-8.0","64013f9fa92a5dd2d30c5575","bdp_rwlrn","Mon Mar 13 2023 14:02:19 GMT-0400 (Eastern Daylight Time)","597098","Trustworthy,Untrustworthy","","3083","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","8","146812","0.0-9.0","64013f9fa92a5dd2d30c5575","bdp_rwlrn","Mon Mar 13 2023 14:02:19 GMT-0400 (Eastern Daylight Time)","597098","Trustworthy,Untrustworthy","","null","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/mango.png'><br><strong>Mega Mangos</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/melon.png'><br><strong>Melon Millions</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/lime.png'><br><strong>Limin' Large</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
