"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","12","0.0-0.0","5f514708067fba172909261a","bdp_rwlrn","Mon Mar 13 2023 13:34:36 GMT-0600 (Mountain Daylight Time)","585209","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"instructions","1","8583","0.0-1.0","5f514708067fba172909261a","bdp_rwlrn","Mon Mar 13 2023 13:34:36 GMT-0600 (Mountain Daylight Time)","585209","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":8568}]","8569","","","","","","","","","","","","","","","","","",""
"","","","","5f514708067fba172909261a","bdp_rwlrn","Mon Mar 13 2023 13:34:36 GMT-0600 (Mountain Daylight Time)","585209","Trustworthy,Untrustworthy","","","fullscreenenter","2","15060","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","16046","0.0-2.0","5f514708067fba172909261a","bdp_rwlrn","Mon Mar 13 2023 13:34:36 GMT-0600 (Mountain Daylight Time)","585209","Trustworthy,Untrustworthy","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","140341","0.0-4.0","5f514708067fba172909261a","bdp_rwlrn","Mon Mar 13 2023 13:34:36 GMT-0600 (Mountain Daylight Time)","585209","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":10832},{""page_index"":1,""viewing_time"":18437},{""page_index"":2,""viewing_time"":7960},{""page_index"":3,""viewing_time"":7304},{""page_index"":4,""viewing_time"":6768},{""page_index"":5,""viewing_time"":9772},{""page_index"":4,""viewing_time"":4046},{""page_index"":5,""viewing_time"":59167}]","124287","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","147667","0.0-5.0","5f514708067fba172909261a","bdp_rwlrn","Mon Mar 13 2023 13:34:36 GMT-0600 (Mountain Daylight Time)","585209","Trustworthy,Untrustworthy","","7317","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","5","151476","0.0-6.0","5f514708067fba172909261a","bdp_rwlrn","Mon Mar 13 2023 13:34:36 GMT-0600 (Mountain Daylight Time)","585209","Trustworthy,Untrustworthy","","3702","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","6","155005","0.0-7.0","5f514708067fba172909261a","bdp_rwlrn","Mon Mar 13 2023 13:34:36 GMT-0600 (Mountain Daylight Time)","585209","Trustworthy,Untrustworthy","","3426","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","A","","","","","","","","","","",""
"html-keyboard-response","7","160881","0.0-8.0","5f514708067fba172909261a","bdp_rwlrn","Mon Mar 13 2023 13:34:36 GMT-0600 (Mountain Daylight Time)","585209","Trustworthy,Untrustworthy","","5767","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p style='color:#FF0000'>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","8","165993","0.0-9.0","5f514708067fba172909261a","bdp_rwlrn","Mon Mar 13 2023 13:34:36 GMT-0600 (Mountain Daylight Time)","585209","Trustworthy,Untrustworthy","","null","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/papayas.png'><br><strong>Papaya Payday</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/cherrie.png'><br><strong>Cherry Chances</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/Kiwi.png'><br><strong>Kiwi Kash</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
