"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","1","0.0-0.0","63bef4ddef5b4d7295effbbd","bdp_rwlrn","Wed Mar 15 2023 14:39:33 GMT-0500 (Central Daylight Time)","320975","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"instructions","1","2336","0.0-1.0","63bef4ddef5b4d7295effbbd","bdp_rwlrn","Wed Mar 15 2023 14:39:33 GMT-0500 (Central Daylight Time)","320975","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":2335}]","2335","","","","","","","","","","","","","","","","","",""
"","","","","63bef4ddef5b4d7295effbbd","bdp_rwlrn","Wed Mar 15 2023 14:39:33 GMT-0500 (Central Daylight Time)","320975","Untrustworthy,Trustworthy","","","fullscreenenter","2","3995","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","4983","0.0-2.0","63bef4ddef5b4d7295effbbd","bdp_rwlrn","Wed Mar 15 2023 14:39:33 GMT-0500 (Central Daylight Time)","320975","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","81150","0.0-4.0","63bef4ddef5b4d7295effbbd","bdp_rwlrn","Wed Mar 15 2023 14:39:33 GMT-0500 (Central Daylight Time)","320975","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":4724},{""page_index"":1,""viewing_time"":33452},{""page_index"":2,""viewing_time"":2935},{""page_index"":3,""viewing_time"":3929},{""page_index"":4,""viewing_time"":30117},{""page_index"":5,""viewing_time"":1009}]","76166","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","84178","0.0-5.0","63bef4ddef5b4d7295effbbd","bdp_rwlrn","Wed Mar 15 2023 14:39:33 GMT-0500 (Central Daylight Time)","320975","Untrustworthy,Trustworthy","","3025","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","B","","","","","","","","","","",""
"html-keyboard-response","5","87477","0.0-6.0","63bef4ddef5b4d7295effbbd","bdp_rwlrn","Wed Mar 15 2023 14:39:33 GMT-0500 (Central Daylight Time)","320975","Untrustworthy,Trustworthy","","3197","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p style='color:#FF0000'>b) 1</p><p>c) 5</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","6","89721","0.0-7.0","63bef4ddef5b4d7295effbbd","bdp_rwlrn","Wed Mar 15 2023 14:39:33 GMT-0500 (Central Daylight Time)","320975","Untrustworthy,Trustworthy","","2141","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
"html-keyboard-response","7","90200","0.0-8.0","63bef4ddef5b4d7295effbbd","bdp_rwlrn","Wed Mar 15 2023 14:39:33 GMT-0500 (Central Daylight Time)","320975","Untrustworthy,Trustworthy","","378","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","8","95304","0.0-9.0","63bef4ddef5b4d7295effbbd","bdp_rwlrn","Wed Mar 15 2023 14:39:33 GMT-0500 (Central Daylight Time)","320975","Untrustworthy,Trustworthy","","null","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/grapes.png'><br><strong>Great Grapes</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/lemon.png'><br><strong>Lucky Lemons</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/pears.png'><br><strong>Pears Aplenty</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
"instructions","9","96805","0.0-10.0","63bef4ddef5b4d7295effbbd","bdp_rwlrn","Wed Mar 15 2023 14:39:33 GMT-0500 (Central Daylight Time)","320975","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":515},{""page_index"":1,""viewing_time"":985}]","1500","","","","","","","","","","","","","","","","","",""
