"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","2","0.0-0.0","63d7edbef6596097994e730e","bdp_rwlrn","Wed Mar 15 2023 15:11:21 GMT-0400 (Eastern Daylight Time)","357480","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"instructions","1","2456","0.0-1.0","63d7edbef6596097994e730e","bdp_rwlrn","Wed Mar 15 2023 15:11:21 GMT-0400 (Eastern Daylight Time)","357480","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":2453}]","2453","","","","","","","","","","","","","","","","","",""
"","","","","63d7edbef6596097994e730e","bdp_rwlrn","Wed Mar 15 2023 15:11:21 GMT-0400 (Eastern Daylight Time)","357480","Trustworthy,Untrustworthy","","","fullscreenenter","2","4163","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","5146","0.0-2.0","63d7edbef6596097994e730e","bdp_rwlrn","Wed Mar 15 2023 15:11:21 GMT-0400 (Eastern Daylight Time)","357480","Trustworthy,Untrustworthy","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","72422","0.0-4.0","63d7edbef6596097994e730e","bdp_rwlrn","Wed Mar 15 2023 15:11:21 GMT-0400 (Eastern Daylight Time)","357480","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":2905},{""page_index"":1,""viewing_time"":16670},{""page_index"":2,""viewing_time"":5922},{""page_index"":3,""viewing_time"":8720},{""page_index"":4,""viewing_time"":29799},{""page_index"":5,""viewing_time"":3257}]","67273","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","76048","0.0-5.0","63d7edbef6596097994e730e","bdp_rwlrn","Wed Mar 15 2023 15:11:21 GMT-0400 (Eastern Daylight Time)","357480","Trustworthy,Untrustworthy","","3623","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","5","77334","0.0-6.0","63d7edbef6596097994e730e","bdp_rwlrn","Wed Mar 15 2023 15:11:21 GMT-0400 (Eastern Daylight Time)","357480","Trustworthy,Untrustworthy","","1176","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","6","80622","0.0-7.0","63d7edbef6596097994e730e","bdp_rwlrn","Wed Mar 15 2023 15:11:21 GMT-0400 (Eastern Daylight Time)","357480","Trustworthy,Untrustworthy","","3176","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
"html-keyboard-response","7","81838","0.0-8.0","63d7edbef6596097994e730e","bdp_rwlrn","Wed Mar 15 2023 15:11:21 GMT-0400 (Eastern Daylight Time)","357480","Trustworthy,Untrustworthy","","1110","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","8","86957","0.0-9.0","63d7edbef6596097994e730e","bdp_rwlrn","Wed Mar 15 2023 15:11:21 GMT-0400 (Eastern Daylight Time)","357480","Trustworthy,Untrustworthy","","null","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/mixed-berries2.png'><br><strong>Berry Bla$t</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/Kiwi.png'><br><strong>Kiwi Kash</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/bananas.png'><br><strong>Banana Bonanza</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
