"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","5","0.0-0.0","60ff5fb6cbf1bb7de9bf2801","bdp_rwlrn","Tue Mar 14 2023 21:17:11 GMT-0400 (Eastern Daylight Time)","531780","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"instructions","1","6364","0.0-1.0","60ff5fb6cbf1bb7de9bf2801","bdp_rwlrn","Tue Mar 14 2023 21:17:11 GMT-0400 (Eastern Daylight Time)","531780","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":6357}]","6358","","","","","","","","","","","","","","","","","",""
"","","","","60ff5fb6cbf1bb7de9bf2801","bdp_rwlrn","Tue Mar 14 2023 21:17:11 GMT-0400 (Eastern Daylight Time)","531780","Trustworthy,Untrustworthy","","","fullscreenenter","2","11621","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","12579","0.0-2.0","60ff5fb6cbf1bb7de9bf2801","bdp_rwlrn","Tue Mar 14 2023 21:17:11 GMT-0400 (Eastern Daylight Time)","531780","Trustworthy,Untrustworthy","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","177190","0.0-4.0","60ff5fb6cbf1bb7de9bf2801","bdp_rwlrn","Tue Mar 14 2023 21:17:11 GMT-0400 (Eastern Daylight Time)","531780","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":21622},{""page_index"":1,""viewing_time"":29062},{""page_index"":0,""viewing_time"":9329},{""page_index"":1,""viewing_time"":7457},{""page_index"":2,""viewing_time"":19421},{""page_index"":3,""viewing_time"":29377},{""page_index"":4,""viewing_time"":35915},{""page_index"":5,""viewing_time"":12424}]","164608","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","181414","0.0-5.0","60ff5fb6cbf1bb7de9bf2801","bdp_rwlrn","Tue Mar 14 2023 21:17:11 GMT-0400 (Eastern Daylight Time)","531780","Trustworthy,Untrustworthy","","4219","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","5","185388","0.0-6.0","60ff5fb6cbf1bb7de9bf2801","bdp_rwlrn","Tue Mar 14 2023 21:17:11 GMT-0400 (Eastern Daylight Time)","531780","Trustworthy,Untrustworthy","","3870","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","6","194359","0.0-7.0","60ff5fb6cbf1bb7de9bf2801","bdp_rwlrn","Tue Mar 14 2023 21:17:11 GMT-0400 (Eastern Daylight Time)","531780","Trustworthy,Untrustworthy","","8868","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
"html-keyboard-response","7","197156","0.0-8.0","60ff5fb6cbf1bb7de9bf2801","bdp_rwlrn","Tue Mar 14 2023 21:17:11 GMT-0400 (Eastern Daylight Time)","531780","Trustworthy,Untrustworthy","","2688","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","8","202268","0.0-9.0","60ff5fb6cbf1bb7de9bf2801","bdp_rwlrn","Tue Mar 14 2023 21:17:11 GMT-0400 (Eastern Daylight Time)","531780","Trustworthy,Untrustworthy","","null","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/watermelon.png'><br><strong>Watermelon Win$</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/lime.png'><br><strong>Limin' Large</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/cherrie.png'><br><strong>Cherry Chances</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
"instructions","9","226770","0.0-10.0","60ff5fb6cbf1bb7de9bf2801","bdp_rwlrn","Tue Mar 14 2023 21:17:11 GMT-0400 (Eastern Daylight Time)","531780","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":16703},{""page_index"":1,""viewing_time"":7798}]","24501","","","","","","","","","","","","","","","","","",""
