"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","3","0.0-0.0","5fa9fffcf843322ce7456283","bdp_rwlrn","Tue Mar 14 2023 14:37:03 GMT-0400 (Eastern Daylight Time)","467020","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"instructions","1","3574","0.0-1.0","5fa9fffcf843322ce7456283","bdp_rwlrn","Tue Mar 14 2023 14:37:03 GMT-0400 (Eastern Daylight Time)","467020","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":3570}]","3570","","","","","","","","","","","","","","","","","",""
"","","","","5fa9fffcf843322ce7456283","bdp_rwlrn","Tue Mar 14 2023 14:37:03 GMT-0400 (Eastern Daylight Time)","467020","Untrustworthy,Trustworthy","","","fullscreenenter","2","5043","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","6032","0.0-2.0","5fa9fffcf843322ce7456283","bdp_rwlrn","Tue Mar 14 2023 14:37:03 GMT-0400 (Eastern Daylight Time)","467020","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","63798","0.0-4.0","5fa9fffcf843322ce7456283","bdp_rwlrn","Tue Mar 14 2023 14:37:03 GMT-0400 (Eastern Daylight Time)","467020","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":11581},{""page_index"":1,""viewing_time"":12049},{""page_index"":2,""viewing_time"":2609},{""page_index"":3,""viewing_time"":5704},{""page_index"":4,""viewing_time"":23053},{""page_index"":5,""viewing_time"":2769}]","57765","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","67634","0.0-5.0","5fa9fffcf843322ce7456283","bdp_rwlrn","Tue Mar 14 2023 14:37:03 GMT-0400 (Eastern Daylight Time)","467020","Untrustworthy,Trustworthy","","3836","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","5","69040","0.0-6.0","5fa9fffcf843322ce7456283","bdp_rwlrn","Tue Mar 14 2023 14:37:03 GMT-0400 (Eastern Daylight Time)","467020","Untrustworthy,Trustworthy","","1305","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","6","72914","0.0-7.0","5fa9fffcf843322ce7456283","bdp_rwlrn","Tue Mar 14 2023 14:37:03 GMT-0400 (Eastern Daylight Time)","467020","Untrustworthy,Trustworthy","","3773","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
"html-keyboard-response","7","73809","0.0-8.0","5fa9fffcf843322ce7456283","bdp_rwlrn","Tue Mar 14 2023 14:37:03 GMT-0400 (Eastern Daylight Time)","467020","Untrustworthy,Trustworthy","","794","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","8","78911","0.0-9.0","5fa9fffcf843322ce7456283","bdp_rwlrn","Tue Mar 14 2023 14:37:03 GMT-0400 (Eastern Daylight Time)","467020","Untrustworthy,Trustworthy","","null","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/melon.png'><br><strong>Melon Millions</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/bananas.png'><br><strong>Banana Bonanza</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/apple.png'><br><strong>Awesome Apples</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
"instructions","9","83052","0.0-10.0","5fa9fffcf843322ce7456283","bdp_rwlrn","Tue Mar 14 2023 14:37:03 GMT-0400 (Eastern Daylight Time)","467020","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":2415},{""page_index"":1,""viewing_time"":1725}]","4140","","","","","","","","","","","","","","","","","",""
